startYear	Western	Horror	Adventure	Action	Musical	News	Sci-Fi	Game-Show	War	\N	Romance	Animation	Comedy	Talk-Show	Adult	Sport	Film-Noir	Crime	Thriller	Mystery	History	Music	Drama	Reality-TV	Biography	Short	Documentary	Fantasy	Family
1941	122	17	94	59	91	0	5	0	59	261	207	6	467	0	0	11	21	111	17	63	33	117	692	0	16	0	56	18	32
1952	109	11	141	88	126	1	13	0	50	486	202	8	502	0	0	18	35	152	40	36	37	75	1029	0	38	0	134	52	78
1970	105	111	315	388	154	2	50	0	133	1006	430	33	989	2	134	36	0	327	140	77	86	183	2068	0	63	0	565	128	194
1957	81	67	147	172	154	3	40	0	80	457	291	7	639	0	0	12	42	263	79	52	51	93	1459	0	43	0	220	91	138
1943	100	19	65	45	77	0	5	0	130	235	170	3	365	0	0	5	13	69	34	47	32	103	605	0	16	0	57	17	26
1948	120	14	72	76	84	0	6	0	56	351	177	12	359	0	1	12	57	149	41	62	29	75	906	0	17	0	69	31	41
1945	76	18	59	49	73	0	5	0	81	216	149	9	271	0	0	1	42	98	26	55	22	92	514	0	16	0	63	25	19
2001	14	248	237	622	93	5	120	1	103	977	680	117	1440	4	26	81	0	513	472	193	149	227	2600	9	189	1	2421	170	239
1949	116	16	86	81	109	0	7	0	52	331	199	10	405	0	0	11	63	189	33	41	33	68	1004	0	33	0	85	33	55
1953	88	22	150	96	133	0	23	0	67	544	230	12	540	0	0	19	39	165	39	45	54	85	1119	0	35	0	139	42	117
1954	72	24	170	99	120	2	29	0	59	627	257	8	526	0	0	14	34	182	45	46	48	83	1188	0	35	0	156	65	139
1965	110	73	257	352	180	1	44	1	146	854	376	17	899	3	7	22	0	287	121	85	79	199	1681	0	46	2	366	80	122
1983	19	126	204	461	121	3	88	2	109	1001	360	80	958	1	314	43	0	294	181	109	101	169	2185	0	103	0	679	141	226
1980	23	163	207	473	130	4	93	0	86	1058	304	64	1009	3	266	40	0	293	185	102	108	147	2111	0	115	0	655	112	190
1973	84	189	258	486	109	1	50	0	84	1000	301	44	924	0	232	33	0	454	208	92	107	117	1985	2	80	1	489	113	194
1961	69	49	219	241	173	0	31	0	125	625	329	18	834	0	0	12	0	283	112	71	78	137	1595	0	36	1	244	72	136
1955	78	19	140	99	146	0	21	0	65	636	268	12	584	0	0	16	54	189	34	48	65	97	1203	1	44	0	159	61	135
1962	60	61	235	254	202	1	33	0	110	607	319	21	890	0	0	9	0	259	95	76	57	163	1614	0	31	0	237	76	155
1958	68	77	161	144	163	2	51	2	104	493	342	7	707	0	0	11	29	257	79	68	54	114	1446	0	37	0	183	60	123
1956	85	36	134	134	163	0	42	0	76	518	287	8	588	0	0	17	55	200	45	32	50	106	1339	0	35	0	144	49	111
1977	22	140	239	440	89	2	67	0	70	966	308	51	917	0	318	39	0	324	177	93	82	114	1926	0	79	0	548	112	195
1964	91	78	235	320	186	1	33	1	124	661	339	14	943	3	0	15	0	299	106	86	74	193	1622	0	29	0	361	93	119
1960	66	65	167	222	173	2	27	0	108	535	342	9	780	2	1	8	0	353	89	66	69	110	1563	0	41	0	253	76	150
1959	53	60	169	173	179	3	41	0	122	547	331	12	740	0	0	15	0	261	106	81	62	110	1459	0	33	0	183	65	130
1967	114	65	307	350	211	1	49	1	104	893	359	31	900	1	1	17	0	370	160	80	87	203	1752	0	34	0	376	83	134
1968	120	92	297	332	158	2	53	0	135	968	387	27	876	1	21	24	0	352	135	86	75	142	1989	0	37	1	429	90	131
1963	55	70	200	268	175	2	27	0	110	662	280	8	909	1	1	16	0	278	80	76	66	217	1549	1	30	0	346	77	134
1986	21	166	221	537	102	4	91	1	96	946	381	97	1006	4	358	41	0	368	227	90	81	178	2237	2	110	0	635	148	257
1971	131	157	296	365	133	1	50	2	96	1059	374	32	969	1	281	24	0	380	181	114	95	135	1998	1	56	0	503	104	143
1969	99	82	282	463	161	1	44	0	122	880	409	26	932	0	23	20	0	379	148	87	92	141	2094	0	55	0	451	105	152
1972	126	186	289	403	159	5	51	0	80	1039	366	34	973	4	190	35	0	398	195	118	94	129	1954	2	72	0	487	94	176
1966	139	63	314	411	192	2	71	0	119	813	362	24	891	0	2	18	0	359	117	87	71	161	1699	0	39	0	316	84	160
1976	48	130	229	381	96	1	45	0	85	961	325	39	995	0	370	36	0	351	161	76	104	109	1902	1	77	0	519	111	200
1990	15	230	201	721	69	2	88	2	87	1103	359	80	1023	4	443	29	0	497	354	133	98	145	2129	5	112	0	825	188	197
1979	35	108	260	481	110	1	76	1	94	1090	311	72	972	2	376	54	0	281	147	91	101	166	2014	0	79	0	581	114	223
1974	45	185	253	447	101	0	58	0	87	908	373	38	970	1	200	31	0	395	214	101	100	92	2014	1	71	1	469	109	189
1981	14	178	209	418	126	0	65	0	91	1025	335	76	1016	3	310	30	0	280	177	108	112	157	2121	2	107	0	603	112	216
2020	57	1254	589	1046	186	27	420	7	159	576	998	401	2647	41	209	345	0	745	1314	516	413	560	5409	113	547	3	6265	435	500
1988	18	270	234	671	104	0	108	0	112	901	412	81	1024	1	290	32	0	372	283	131	97	158	2261	3	113	0	760	184	208
1975	60	159	267	367	111	0	43	0	92	990	307	41	1019	4	361	24	0	343	188	118	93	127	1931	2	94	0	536	88	174
1978	36	111	217	420	117	0	65	0	63	1027	312	51	909	1	350	36	0	272	179	99	84	140	2035	2	76	0	561	119	199
1989	13	262	199	670	73	3	107	1	98	819	378	67	1085	2	349	35	0	455	345	142	114	147	2253	2	112	0	747	172	193
1985	17	145	218	474	113	4	85	2	120	1108	382	86	1024	0	468	35	0	336	206	106	99	168	2124	3	99	0	649	138	217
1995	32	184	169	630	56	1	136	0	90	1013	459	83	1030	2	115	54	0	401	418	157	111	153	2042	8	186	0	1243	131	203
1987	21	224	240	586	96	4	106	1	99	920	363	94	1010	2	292	43	0	364	266	123	104	169	2318	1	89	1	668	148	253
2018	63	1411	749	1400	216	36	437	4	168	792	1373	433	3788	20	153	388	0	999	1601	665	639	627	7057	84	804	6	7162	569	676
1984	16	127	195	426	102	0	92	3	91	1112	355	75	1000	0	394	41	0	301	203	98	91	186	2163	2	101	0	663	128	248
